index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
20	164	36	-10.048783302307129	2	1	-3.7543559769638386	0
20	166	36	-10.320788097381591	2	1	-3.7543559769638386	0
20	186	42	-10.513232517242432	2	1	-3.7543559769638386	0
20	177	43	-10.334071731567382	2	1	-3.7543559769638386	0
20	189	38	-10.542020225524903	2	1	-3.7543559769638386	0
20	168	38	-10.184262466430663	2	1	-3.7543559769638386	0
20	170	42	-10.690994262695312	2	1	-3.7543559769638386	0
20	174	42	-10.730211162567139	2	1	-3.7543559769638386	0
20	199	39	-10.51755781173706	2	1	-3.7543559769638386	0
20	173	40	-10.44387788772583	2	1	-3.7543559769638386	0
20	196	42	-10.736548614501952	2	1	-3.7543559769638386	0
20	197	46	-10.976118659973144	2	1	-3.7543559769638386	0
20	176	39	-10.324333190917969	2	1	-3.7543559769638386	0
20	182	44	-10.59831657409668	2	1	-3.7543559769638386	0
20	185	41	-10.577097034454345	2	1	-3.7543559769638386	0
20	164	39	-10.234136581420898	2	1	-3.7543559769638386	0
20	166	37	-10.419853496551514	2	1	-3.7543559769638386	1
20	186	41	-10.681923294067383	2	1	-3.7543559769638386	0
20	180	39	-10.634471416473389	2	1	-3.7543559769638386	1
20	190	42	-10.500034999847411	2	1	-3.7543559769638386	0
20	167	39	-10.334532451629638	2	1	-3.7543559769638386	0
20	177	43	-10.912683868408203	2	1	-3.7543559769638386	0
20	172	40	-10.679786109924317	2	1	-3.7543559769638386	0
20	183	44	-10.711434364318848	2	1	-3.7543559769638386	0
20	167	39	-10.165541839599609	2	1	-3.7543559769638386	0
20	166	34	-10.043733310699462	2	1	-3.7543559769638386	0
20	206	43	-10.714816284179687	2	1	-3.7543559769638386	0
20	159	33	-9.912583446502685	2	1	-3.7543559769638386	0
20	156	36	-9.944586277008057	2	1	-3.7543559769638386	0
20	166	39	-10.248810482025146	2	1	-3.7543559769638386	0
20	179	46	-10.740507698059082	2	1	-3.7543559769638386	0
20	175	40	-10.164627075195312	2	1	-3.7543559769638386	0
20	186	38	-10.391007614135741	2	1	-3.7543559769638386	0
20	194	38	-10.362042999267578	2	1	-3.7543559769638386	0
20	176	39	-10.247913455963134	2	1	-3.7543559769638386	0
20	180	48	-11.032300567626953	2	1	-3.7543559769638386	0
20	173	43	-10.652477169036866	2	1	-3.7543559769638386	0
20	161	38	-10.341147518157959	2	1	-3.7543559769638386	0
20	171	40	-10.525039863586425	2	1	-3.7543559769638386	0
20	191	41	-10.503431606292725	2	1	-3.7543559769638386	0
20	172	36	-9.967747974395753	2	1	-3.7543559769638386	0
20	170	41	-10.554625034332275	2	1	-3.7543559769638386	0
20	184	41	-10.543464756011963	2	1	-3.7543559769638386	0
20	181	39	-10.239319992065429	2	1	-3.7543559769638386	0
20	179	39	-10.412146282196044	2	1	-3.7543559769638386	0
20	174	40	-10.395423221588135	2	1	-3.7543559769638386	1
20	182	47	-11.066095542907714	2	1	-3.7543559769638386	0
20	178	41	-10.543978214263916	2	1	-3.7543559769638386	0
20	188	46	-11.001065158843994	2	1	-3.7543559769638386	0
20	186	40	-10.388313674926758	2	1	-3.7543559769638386	0
20	210	48	-11.278020000457763	2	1	-3.7543559769638386	0
20	178	40	-10.500988483428955	2	1	-3.7543559769638386	0
20	183	38	-10.29772653579712	2	1	-3.7543559769638386	0
20	188	43	-10.447357559204102	2	1	-3.7543559769638386	0
20	189	43	-10.693721103668214	2	1	-3.7543559769638386	0
20	177	42	-10.48168306350708	2	1	-3.7543559769638386	0
20	166	40	-10.59058666229248	2	1	-3.7543559769638386	0
20	178	36	-10.004959869384766	2	1	-3.7543559769638386	0
20	153	37	-10.225961017608643	2	1	-3.7543559769638386	0
20	168	35	-10.09914846420288	2	1	-3.7543559769638386	0
20	168	40	-10.64553108215332	2	1	-3.7543559769638386	0
20	178	42	-10.776355361938476	2	1	-3.7543559769638386	0
20	161	42	-10.563238048553467	2	1	-3.7543559769638386	0
20	175	41	-10.472474098205566	2	1	-3.7543559769638386	0
20	161	38	-10.305069637298583	2	1	-3.7543559769638386	0
20	177	44	-10.52081594467163	2	1	-3.7543559769638386	0
20	166	42	-10.473130416870116	2	1	-3.7543559769638386	0
20	158	34	-9.88841667175293	2	1	-3.7543559769638386	0
20	173	43	-10.665404415130615	2	1	-3.7543559769638386	0
20	170	40	-10.341585445404053	2	1	-3.7543559769638386	0
20	171	45	-10.811268138885499	2	1	-3.7543559769638386	0
20	161	36	-10.083357334136963	2	1	-3.7543559769638386	0
20	156	32	-9.84550724029541	2	1	-3.7543559769638386	0
20	175	43	-10.835501766204834	2	1	-3.7543559769638386	0
20	179	42	-10.794104480743409	2	1	-3.7543559769638386	0
20	200	45	-10.764595699310302	2	1	-3.7543559769638386	1
20	188	41	-10.704178810119629	2	1	-3.7543559769638386	0
20	179	39	-10.44989070892334	2	1	-3.7543559769638386	0
20	166	32	-9.732301330566406	2	1	-3.7543559769638386	0
20	185	40	-10.747514820098877	2	1	-3.7543559769638386	0
20	160	39	-10.473833656311035	2	1	-3.7543559769638386	0
20	168	37	-10.233781337738037	2	1	-3.7543559769638386	0
20	161	37	-10.04175968170166	2	1	-3.7543559769638386	0
20	174	37	-10.37031078338623	2	1	-3.7543559769638386	0
20	176	44	-10.425972747802735	2	1	-3.7543559769638386	0
20	187	46	-10.620334053039551	2	1	-3.7543559769638386	0
20	175	42	-10.811033535003663	2	1	-3.7543559769638386	0
20	198	40	-10.425389385223388	2	1	-3.7543559769638386	0
20	169	40	-10.57755651473999	2	1	-3.7543559769638386	0
